461178,"kerrostalo, 27 m2 | 1h, tk, kph, wc",1439.0,"Helsinki, Helsinginkatu 12",http://www.vuokraovi.com//vuokra-asunto/helsinki/kerrostalo/yksio/461178,60.18706270000001,24.9550197,Majoituspalvelu Forenom Oy,1121404,260
461178,"kerrostalo, 27 m2 | 1h, tk, kph, wc",1439.0,"Helsinki, Helsinginkatu 12",http://www.vuokraovi.com//vuokra-asunto/helsinki/kerrostalo/yksio/461178,60.18706270000001,24.9550197,Majoituspalvelu Forenom Oy,1112436,278
146477,"erillistalo, 14 m2 | Omahuone",1050.0,"Espoo, Otaniemi, Kivimiehentie 2",http://www.vuokraovi.com//vuokra-asunto/espoo/otaniemi/erillistalo/yksio/146477,60.17986649999999,24.8287218,Agency info missing,2222220,179
146477,"erillistalo, 14 m2 | Omahuone",1050.0,"Espoo, Otaniemi, Kivimiehentie 2",http://www.vuokraovi.com//vuokra-asunto/espoo/otaniemi/erillistalo/yksio/146477,60.17986649999999,24.8287218,Agency info missing,2222214,225
146477,"erillistalo, 14 m2 | Omahuone",1050.0,"Espoo, Otaniemi, Kivimiehentie 2",http://www.vuokraovi.com//vuokra-asunto/espoo/otaniemi/erillistalo/yksio/146477,60.17986649999999,24.8287218,Agency info missing,2222221,264
158534,"paritalo, 266 m2 | Unfurnished 6r, swimming pool",3750.0,"Helsinki, Lehtisaari, Pyhan Laurin Tie 3",http://www.vuokraovi.com//vuokra-asunto/helsinki/lehtisaari/paritalo/5h+/158534,60.1806825,24.8564333,Celine Oy Ab LKV AFM,1303110,103
158534,"paritalo, 266 m2 | Unfurnished 6r, swimming pool",3750.0,"Helsinki, Lehtisaari, Pyhan Laurin Tie 3",http://www.vuokraovi.com//vuokra-asunto/helsinki/lehtisaari/paritalo/5h+/158534,60.1806825,24.8564333,Celine Oy Ab LKV AFM,1303109,120
158534,"paritalo, 266 m2 | Unfurnished 6r, swimming pool",3750.0,"Helsinki, Lehtisaari, Pyhan Laurin Tie 3",http://www.vuokraovi.com//vuokra-asunto/helsinki/lehtisaari/paritalo/5h+/158534,60.1806825,24.8564333,Celine Oy Ab LKV AFM,1303106,196
158534,"paritalo, 266 m2 | Unfurnished 6r, swimming pool",3750.0,"Helsinki, Lehtisaari, Pyhan Laurin Tie 3",http://www.vuokraovi.com//vuokra-asunto/helsinki/lehtisaari/paritalo/5h+/158534,60.1806825,24.8564333,Celine Oy Ab LKV AFM,1303105,239
158534,"paritalo, 266 m2 | Unfurnished 6r, swimming pool",3750.0,"Helsinki, Lehtisaari, Pyhan Laurin Tie 3",http://www.vuokraovi.com//vuokra-asunto/helsinki/lehtisaari/paritalo/5h+/158534,60.1806825,24.8564333,Celine Oy Ab LKV AFM,1303107,260
428448,"kerrostalo, 40 m2 | 2h+kk+s",975.0,"Espoo, Matinkyla, Matinniitynkuja 6",http://www.vuokraovi.com//vuokra-asunto/espoo/matinkyla/kerrostalo/kaksio/428448,60.15957160000001,24.7436979,Agency info missing,2311202,119
